algorithm,num_ues,sum_rate,throughput,fairness
Max-SINR,10,33.692628368804286,2695.410269504343,0.4259504383098296
GA,10,34.98610319510828,2798.8882556086623,0.43436478040756193
HGA,10,34.98610319510828,2798.8882556086623,0.43436478040756193
PBIG,10,34.98610319510828,2798.8882556086623,0.43436478040756193
Max-SINR,20,68.71957402986322,5497.565922389058,0.45726740647513703
GA,20,63.32755679034743,5066.204543227795,0.422595118224756
HGA,20,72.68305906985151,5814.644725588121,0.4774459824697077
PBIG,20,69.96058077768357,5596.846462214686,0.44565033081696437
Max-SINR,30,146.31193160514258,11704.954528411406,0.48189831197785354
GA,30,149.72383726312563,11977.906981050051,0.45138758126875944
HGA,30,163.80803214294366,13104.642571435494,0.5183216808810922
PBIG,30,147.2480350260285,11779.842802082281,0.4829108280603798
Max-SINR,40,169.636525705054,13570.92205640432,0.44915768348734997
GA,40,153.74637740350485,12299.710192280389,0.35174526929697436
HGA,40,189.03857264207846,15123.085811366278,0.47565238517645164
PBIG,40,163.3923880860572,13071.391046884577,0.401082582544142
Max-SINR,50,291.4348573690321,23314.78858952257,0.5071600605897943
GA,50,279.93177919952865,22394.542335962295,0.4489053613531808
HGA,50,323.9176190751814,25913.40952601451,0.5356415666340621
PBIG,50,274.198236480742,21935.858918459362,0.418416727093681
Max-SINR,60,234.3659894873536,18749.27915898829,0.5282062252586063
GA,60,233.98197506015018,18718.558004812014,0.48043540698920506
HGA,60,265.95073253102476,21276.058602481982,0.5557579853082409
PBIG,60,240.27448629928227,19221.958903942585,0.48017539846922025
Max-SINR,70,223.86734746255866,17909.387797004692,0.44829970193197993
GA,70,204.28875715603547,16343.100572482837,0.38874474458130576
HGA,70,254.618831349095,20369.5065079276,0.48753917327018004
PBIG,70,205.37272952383202,16429.818361906564,0.4542700884520367
Max-SINR,80,261.5497235440161,20923.97788352129,0.45249732178728697
GA,80,255.4989305410387,20439.914443283098,0.38349573461933467
HGA,80,334.5256966502319,26762.055732018554,0.5122800071697406
PBIG,80,264.80031931749977,21184.025545399985,0.3814082001518667
Max-SINR,90,340.16954256316274,27213.56340505302,0.5142543944915585
GA,90,305.1587311970813,24412.698495766504,0.4189986308666966
HGA,90,410.9974668300491,32879.79734640393,0.5632495000306954
PBIG,90,324.8392383360148,25987.139066881184,0.40985834022471307
Max-SINR,100,296.82979502035727,23746.383601628582,0.3608456098908064
GA,100,261.634318757531,20930.745500602483,0.27323388217872624
HGA,100,337.912406294695,27032.992503575602,0.37479729970100495
PBIG,100,270.17032734993563,21613.62618799485,0.28767862379279774
